canonical_id,display_name,fpl_id,understat_id,statsbomb_id,birth_date,confidence,method,verified_at
fpl-player-309,Marcelino Núñez,309,,,,1.0,exact,
fpl-player-310,Azor Matusiwa,310,,,,1.0,exact,
fpl-player-311,Wes Burns,311,,,,1.0,exact,
fpl-player-312,Jack Taylor,312,,,,1.0,exact,
fpl-player-313,Jack Clarke,313,,,,1.0,exact,
fpl-player-314,Chiedozie Ogbene,314,,,,1.0,exact,
fpl-player-315,Abdul Fatawu,315,,,,1.0,exact,
fpl-player-316,Emersonn Correia da Silva,316,,,,1.0,exact,
fpl-player-317,George Hirst,317,,,,1.0,exact,
fpl-player-318,Jaden Philogene,318,,,,1.0,exact,
fpl-player-319,Sam Szmodics,319,,,,1.0,exact,
fpl-player-320,Chuba Akpom,320,,,,1.0,exact,
fpl-player-321,Sindre Walle Egeli,321,,,,1.0,exact,
fpl-player-322,Ali Al-Hamadi,322,,,,1.0,exact,
fpl-player-323,Kasey McAteer,323,,,,1.0,exact,
fpl-player-324,Anis Mehmeti,324,,,,1.0,exact,
fpl-player-554,Kayne van Oevelen,554,,,,1.0,exact,
fpl-player-562,Daizen Maeda,562,,,,1.0,exact,
fpl-player-564,Kjell Scherpen,564,,,,1.0,exact,
fpl-player-571,Florentino Ibrain Morris Luís,571,,,,1.0,exact,
fpl-player-591,Julio Enciso,591,,,,1.0,exact,
fpl-player-592,Abdoul Ouattara,592,,,,1.0,exact,
fpl-player-602,Cameron Humphreys,602,,,,1.0,exact,
fpl-player-260,Harry Wilson,260,,,,1.0,exact,
fpl-player-326,Lucas Estella Perri,326,,,,1.0,exact,
fpl-player-327,Jaka Bijol,327,,,,1.0,exact,
fpl-player-329,Joe Rodon,329,,,,1.0,exact,
fpl-player-330,Jayden Bogle,330,,,,1.0,exact,
fpl-player-331,Gabriel Gudmundsson,331,,,,1.0,exact,
fpl-player-332,James Justin,332,,,,1.0,exact,
fpl-player-333,Sebastiaan Bornauw,333,,,,1.0,exact,
fpl-player-334,Tarik Muharemović,334,,,,1.0,exact,
fpl-player-335,Anton Stach,335,,,,1.0,exact,
fpl-player-336,Noah Okafor,336,,,,1.0,exact,
fpl-player-337,Brenden Aaronson,337,,,,1.0,exact,
fpl-player-338,Ethan Ampadu,338,,,,1.0,exact,
fpl-player-339,Sean Longstaff,339,,,,1.0,exact,
fpl-player-341,Wilfried Gnonto,341,,,,1.0,exact,
fpl-player-342,Jack Harrison,342,,,,1.0,exact,
fpl-player-343,Daniel James,343,,,,1.0,exact,
fpl-player-344,Ilia Gruev,344,,,,1.0,exact,
fpl-player-345,Tanaka Ao,345,,,,1.0,exact,
fpl-player-346,Dominic Calvert-Lewin,346,,,,1.0,exact,
fpl-player-347,Lukas Nmecha,347,,,,1.0,exact,
fpl-player-348,Joël Piroe,348,,,,1.0,exact,
fpl-player-349,Mateo Joseph Fernández-Regatillo,349,,,,1.0,exact,
fpl-player-385,James Trafford,385,,,,1.0,exact,
fpl-player-598,Nico Elvedi,598,,,,1.0,exact,
fpl-player-603,Jayden Lienou,603,,,,1.0,exact,
fpl-player-604,Alfie Cresswell,604,,,,1.0,exact,
fpl-player-350,Alisson Becker,350,,,,1.0,exact,
fpl-player-351,Giorgi Mamardashvili,351,,,,1.0,exact,
fpl-player-352,Freddie Woodman,352,,,,1.0,exact,
fpl-player-353,Armin Pecsi,353,,,,1.0,exact,
fpl-player-354,Vitezslav Jaros,354,,,,1.0,exact,
fpl-player-355,Harvey Davies,355,,,,1.0,exact,
fpl-player-356,Virgil van Dijk,356,,,,1.0,exact,
fpl-player-357,Jeremie Frimpong,357,,,,1.0,exact,
fpl-player-358,Milos Kerkez,358,,,,1.0,exact,
fpl-player-359,Joe Gomez,359,,,,1.0,exact,
fpl-player-360,Conor Bradley,360,,,,1.0,exact,
fpl-player-361,Wellity Lucky,361,,,,1.0,exact,
fpl-player-362,Jeremy Jacquet,362,,,,1.0,exact,
fpl-player-363,Giovanni Leoni,363,,,,1.0,exact,
fpl-player-364,Kostas Tsimikas,364,,,,1.0,exact,
fpl-player-365,Calvin Ramsay,365,,,,1.0,exact,
fpl-player-366,Florian Wirtz,366,,,,1.0,exact,
fpl-player-367,Cody Gakpo,367,,,,1.0,exact,
fpl-player-368,Dominik Szoboszlai,368,,,,1.0,exact,
fpl-player-369,Rio Ngumoha,369,,,,1.0,exact,
fpl-player-370,Federico Chiesa,370,,,,1.0,exact,
fpl-player-371,Ryan Gravenberch,371,,,,1.0,exact,
fpl-player-372,Alexis Mac Allister,372,,,,1.0,exact,
fpl-player-373,Curtis Jones,373,,,,1.0,exact,
fpl-player-374,Endo Wataru,374,,,,1.0,exact,
fpl-player-375,Trey Nyoni,375,,,,1.0,exact,
fpl-player-376,Stefan Bajčetić Maquieira,376,,,,1.0,exact,
fpl-player-377,Victor Munoz,377,,,,1.0,exact,
fpl-player-378,James McConnell,378,,,,1.0,exact,
fpl-player-379,Alexander Isak,379,,,,1.0,exact,
fpl-player-380,Hugo Ekitiké,380,,,,1.0,exact,
fpl-player-381,Lewis Koumas,381,,,,1.0,exact,
fpl-player-382,Jayden Danns,382,,,,1.0,exact,
fpl-player-383,Harvey Elliott,383,,,,1.0,exact,
fpl-player-579,Ronald Araujo,579,,,,1.0,exact,
fpl-player-238,Jack Grealish,238,,,,1.0,exact,
fpl-player-384,Gianluigi Donnarumma,384,,,,1.0,exact,
fpl-player-386,Marcus Bettinelli,386,,,,1.0,exact,
fpl-player-387,Nico O'Reilly,387,,,,1.0,exact,
fpl-player-388,Marc Guéhi,388,,,,1.0,exact,
fpl-player-389,Matheus Nunes,389,,,,1.0,exact,
fpl-player-390,Rúben dos Santos Gato Alves Dias,390,,,,1.0,exact,
fpl-player-391,Joško Gvardiol,391,,,,1.0,exact,
fpl-player-392,Rayan Aït-Nouri,392,,,,1.0,exact,
fpl-player-393,Abdukodir Khusanov,393,,,,1.0,exact,
fpl-player-394,Max Alleyne,394,,,,1.0,exact,
fpl-player-395,Rico Lewis,395,,,,1.0,exact,
fpl-player-396,Vitor de Oliveira Nunes dos Reis,396,,,,1.0,exact,
fpl-player-397,Antoine Semenyo,397,,,,1.0,exact,
fpl-player-398,Phil Foden,398,,,,1.0,exact,
fpl-player-399,Rayan Cherki,399,,,,1.0,exact,
